Date,Revenue,COGS,is_test,cogs_ratio,day_of_week,day_of_month,month,year,is_weekend,active_promos_count,is_promo_active,sessions_lag_1,total_stock_on_hand,total_stockouts,revenue_lag_1,revenue_lag_7,revenue_lag_30,revenue_rolling_mean_7,revenue_rolling_mean_30,revenue_rolling_std_7,is_payday,is_double_day,is_christmas
2012-07-27,5156699.45,3989402.2,0,0.7736348101497363,4,27,7,2012,0,0.0,0,,0.0,0.0,5851965.06,5171470.46,,4522406.428571428,,1006550.4489806435,0,0,0
2012-07-28,4326956.84,3403662.59,0,0.7866181050236684,5,28,7,2012,1,0.0,0,,0.0,0.0,5156699.45,3442157.02,,4520296.284285714,,1004977.2127794027,0,0,0
2012-07-29,4804199.65,3819645.91,0,0.7950639416078389,6,29,7,2012,1,0.0,0,,0.0,0.0,4326956.84,3117550.57,,4646696.258571428,,896570.5384278942,0,0,0
2012-07-30,6586130.95,5195109.56,0,0.7887953639913582,0,30,7,2012,0,0.0,0,,0.0,0.0,4804199.65,4730517.69,,4887646.127142857,,592052.2625500921,0,0,0
2012-07-31,9151622.14,7142891.18,0,0.7805054744098077,1,31,7,2012,0,0.0,0,,23698.0,264.0,6586130.95,4096496.12,,5152733.735714287,,863270.5790320875,0,0,0
2012-08-01,9148357.3,7308514.33,0,0.7988881599541373,2,1,8,2012,0,0.0,0,,23698.0,264.0,9151622.14,5246688.08,,5874894.595714286,,1617419.3937052812,1,0,0
2012-08-02,9692427.0,7537501.15,0,0.7776691173428493,3,2,8,2012,0,0.0,0,,23698.0,264.0,9148357.3,5851965.06,,6432275.912857143,,1993425.4476431636,0,0,0
2012-08-03,9297269.95,7118808.46,0,0.7656880458763059,4,3,8,2012,0,0.0,0,,23698.0,264.0,9692427.0,5156699.45,5123547.94,6980913.332857142,4974918.593666667,2310385.0107198316,0,0,0
2012-08-04,6384195.03,5087528.11,0,0.7968942186279043,5,4,8,2012,1,0.0,0,,23698.0,264.0,9297269.95,4326956.84,2751773.45,7572423.404285714,5114042.660666666,2295496.8932570275,0,0,0
2012-08-05,2359224.19,1863413.11,0,0.7898414732683798,6,5,8,2012,1,0.0,0,,23698.0,264.0,6384195.03,4804199.65,3054029.42,7866314.574285715,5235123.38,1910063.9270562544,1,0,0
2012-08-06,3630003.7,2922718.71,0,0.8051558487392175,0,6,8,2012,0,0.0,0,,23698.0,264.0,2359224.19,6586130.95,2667930.94,7517032.365714286,5211963.205666666,2645359.947002691,0,0,0
2012-08-07,2240253.44,1781265.84,0,0.7951180023631612,1,7,8,2012,0,0.0,0,,23698.0,264.0,3630003.7,9151622.14,2360851.9,7094728.472857143,5244032.297666667,3027144.029501683,0,0,0
2012-08-08,2617553.36,1997006.42,0,0.7629286380622247,2,8,8,2012,0,0.0,0,,23698.0,264.0,2240253.44,9148357.3,3548386.46,6107390.087142857,5240012.349,3353924.6295311223,0,1,0
2012-08-09,4478691.52,3621672.71,0,0.8086452692325637,3,9,8,2012,0,0.0,0,,23698.0,264.0,2617553.36,9692427.0,5234938.62,5174418.095714286,5208984.578999999,3274428.300186271,0,0,0
2012-08-10,3412496.65,2699279.56,0,0.790998449771372,4,10,8,2012,0,0.0,0,,23698.0,264.0,4478691.52,9297269.95,5582884.78,4429598.741428571,5183776.342333334,2598705.577580388,0,0,0
2012-08-11,2732604.35,2168668.05,0,0.7936268014796946,5,11,8,2012,1,0.0,0,,23698.0,264.0,3412496.65,6384195.03,5734632.02,3588916.8414285714,5111430.071333334,1467008.0290852978,0,0,0
2012-08-12,3388181.83,2654275.25,0,0.7833922095025224,6,12,8,2012,1,0.0,0,,23698.0,264.0,2732604.35,2359224.19,5309511.71,3067261.0300000003,5011362.482333333,809062.50033577,0,0,0
2012-08-13,3928170.01,3189564.96,0,0.8119722292773168,0,13,8,2012,0,0.0,0,,23698.0,264.0,3388181.83,3630003.7,3820831.41,3214254.978571429,4947318.153,750323.9548528937,0,0,0
2012-08-14,4033912.16,3258198.58,0,0.8077019158493526,1,14,8,2012,0,0.0,0,,23698.0,264.0,3928170.01,2240253.44,3948841.28,3256850.1657142853,4950896.106333333,785498.0846902754,0,0,0
2012-08-15,3780293.26,2886923.59,0,0.7636771518620225,2,15,8,2012,0,0.0,0,,23698.0,264.0,4033912.16,2617553.36,3503801.49,3513087.125714286,4953731.8023333335,684689.495179207,1,0,0
2012-08-16,5249978.18,4222455.97,0,0.80428067036271,3,16,8,2012,0,0.0,0,,23698.0,264.0,3780293.26,4478691.52,4476729.49,3679192.825714286,4962948.194666667,561111.8273141019,0,0,0
2012-08-17,4089284.05,3238908.92,0,0.792047918510332,4,17,8,2012,0,0.0,0,,23698.0,264.0,5249978.18,3412496.65,5184141.46,3789376.634285714,4988723.151,778059.9871780905,0,0,0
2012-08-18,3450015.71,2808916.94,0,0.8141751157417193,5,18,8,2012,1,0.0,0,,23698.0,264.0,4089284.05,2732604.35,6421487.11,3886060.5485714287,4952227.904,765368.7066113293,0,0,0
2012-08-19,3904300.93,3006801.4,0,0.7701254216590318,6,19,8,2012,1,0.0,0,,23698.0,264.0,3450015.71,3388181.83,5171470.46,3988547.885714286,4853178.857333333,619258.1397202748,0,0,0
2012-08-20,3541027.32,2827038.81,0,0.7983668451335191,0,20,8,2012,0,0.0,0,,23698.0,264.0,3904300.93,3928170.01,3442157.02,4062279.185714286,4810939.873,564134.7176804284,0,0,0
2012-08-21,4147483.23,3364364.64,0,0.8111822166427421,1,21,8,2012,0,0.0,0,,23698.0,264.0,3541027.32,4033912.16,3117550.57,4006973.0871428573,4814235.549666666,597466.1444912966,0,0,0
2012-08-22,4597682.81,3562468.33,0,0.7748399524759735,2,22,8,2012,0,0.0,0,,23698.0,264.0,4147483.23,3780293.26,4730517.69,4023197.5257142857,4848566.638333334,599856.8610691493,0,0,0
2012-08-23,5478869.55,4195738.04,0,0.7658036026793155,3,23,8,2012,0,0.0,0,,23698.0,264.0,4597682.81,5249978.18,4096496.12,4139967.461428571,4844138.809,623772.6424724009,0,0,0
2012-08-24,4637850.57,3632210.67,0,0.7831668172957111,4,24,8,2012,0,0.0,0,,23698.0,264.0,5478869.55,4089284.05,5246688.08,4172666.2285714285,4890217.923333333,693734.3870688606,0,0,0
2012-08-25,3589566.28,2784342.75,0,0.7756766508292473,5,25,8,2012,1,0.0,0,,23698.0,264.0,4637850.57,3450015.71,5851965.06,4251032.874285714,4869923.339666667,713449.2465590789,1,0,0
2012-08-26,4280204.53,3476942.48,0,0.8123309191488566,6,26,8,2012,1,0.0,0,,23698.0,264.0,3589566.28,3904300.93,5156699.45,4270968.67,4794510.047,688862.1621575912,0,0,0
2012-08-27,3038895.84,2365260.68,0,0.7783289735919348,0,27,8,2012,0,0.0,0,,23698.0,264.0,4280204.53,3541027.32,4326956.84,4324669.184285714,4765293.549666666,669905.5062253146,0,0,0
2012-08-28,9508676.62,7439851.59,0,0.7824276592130021,1,28,8,2012,0,0.0,0,,23698.0,264.0,3038895.84,4147483.23,4804199.65,4252936.115714285,4722358.182999999,784829.0061274213,0,0,0
2012-08-29,9260558.32,7336294.54,0,0.7922086645851392,2,29,8,2012,0,0.0,0,,23698.0,264.0,9508676.62,4597682.81,6586130.95,5018820.885714286,4879174.082,2129216.247981561,0,0,0
2012-08-30,10086534.1,7950911.72,0,0.7882699489411333,3,30,8,2012,0,0.0,0,,23698.0,264.0,9260558.32,5478869.55,9151622.14,5684945.9585714275,4968321.660999999,2642924.2604166674,0,0,0
2012-08-31,9104678.52,7277460.12,0,0.7993099486174939,4,31,8,2012,0,0.0,0,,26249.0,300.0,10086534.1,4637850.57,9148357.3,6343183.7514285715,4999485.393000001,3114719.452716161,0,0,0
2012-09-01,8560208.92,6738335.17,0,0.787169475999191,5,1,9,2012,1,0.0,0,,26249.0,300.0,9104678.52,3589566.28,9692427.0,6981302.03,4998029.433666666,3164284.8362573204,1,0,0
2012-09-02,2587099.44,1946097.28,0,0.7522313405935414,6,2,9,2012,1,0.0,0,,26249.0,300.0,8560208.92,4280204.53,9297269.95,7691393.835714285,4960288.831,2814712.9549171757,0,0,0
2012-09-03,3865505.01,3063431.08,0,0.7925047495928611,0,3,9,2012,0,0.0,0,,26249.0,300.0,2587099.44,3038895.84,6384195.03,7449521.68,4736616.480666667,3202700.6294741086,0,0,0
2012-09-04,3645749.44,2876968.79,0,0.7891295980011177,1,4,9,2012,0,0.0,0,,26249.0,300.0,3865505.01,9508676.62,2359224.19,7567608.704285714,4652660.1466666665,3023179.6535389884,0,0,0
2012-09-05,2398185.51,1966376.48,0,0.8199434413228526,2,5,9,2012,0,0.0,0,,26249.0,300.0,3645749.44,9260558.32,3630003.7,6730047.678571428,4695544.321666667,3202612.668804228,1,0,0
2012-09-06,2858227.37,2147909.96,0,0.7514832383681218,3,6,9,2012,0,0.0,0,,26249.0,300.0,2398185.51,10086534.1,2240253.44,5749708.705714285,4654483.715333332,3346004.126006396,0,0,0
2012-09-07,3282753.8,2580035.06,0,0.7859362039273248,4,7,9,2012,0,0.0,0,,26249.0,300.0,2858227.37,9104678.52,2617553.36,4717093.458571428,4675082.846333333,2865397.347121636,0,0,0
2012-09-08,3666204.89,2804001.32,0,0.76482395396074,5,8,9,2012,1,0.0,0,,26249.0,300.0,3282753.8,8560208.92,4478691.52,3885389.927142857,4697256.1943333335,2130231.7548760828,0,0,0
2012-09-09,4458501.42,3589475.8,0,0.8050857142039443,6,9,9,2012,1,0.0,0,,26249.0,300.0,3666204.89,2587099.44,3412496.65,3186246.4942857143,4670173.306666667,577324.6722993271,0,1,0
2012-09-10,4548962.79,3517300.88,0,0.7732094198994316,0,10,9,2012,0,0.0,0,,26249.0,300.0,4458501.42,3865505.01,2732604.35,3453589.634285714,4705040.132333334,678131.2047682648,0,0,0
2012-09-11,4021565.55,3264364.41,0,0.8117148332942131,1,11,9,2012,0,0.0,0,,26249.0,300.0,4548962.79,3645749.44,3388181.83,3551226.46,4765585.4136666665,787676.8595732906,0,0,0
2012-09-12,3335978.29,2673690.65,0,0.8014712379917796,2,12,9,2012,0,0.0,0,,26249.0,300.0,4021565.55,2398185.51,3928170.01,3604914.4757142854,4786698.204333333,807745.468908991,0,0,0
2012-09-13,2609609.29,2103806.97,0,0.8061769928785011,3,13,9,2012,0,0.0,0,,26249.0,300.0,3335978.29,2858227.37,4033912.16,3738884.8728571427,4766958.480333333,633141.8823845107,0,0,0
2012-09-14,3729228.43,2835412.27,0,0.7603214239144905,4,14,9,2012,0,0.0,0,,26249.0,300.0,2609609.29,3282753.8,3780293.26,3703368.0042857146,4719481.717999999,694752.6452394562,0,0,0
2012-09-15,3605125.64,2849539.9,0,0.7904134791818239,5,15,9,2012,1,0.0,0,,26249.0,300.0,3729228.43,3666204.89,5249978.18,3767150.0942857144,4717779.557,669746.5685044819,1,0,0
2012-09-16,4452012.44,3561492.95,0,0.7999737193007483,6,16,9,2012,1,0.0,0,,26249.0,300.0,3605125.64,4458501.42,4089284.05,3758424.4871428567,4662951.1389999995,671675.9923404775,0,0,0
2012-09-17,4811788.67,3932069.23,0,0.8171741320468258,0,17,9,2012,0,0.0,0,,26249.0,300.0,4452012.44,4548962.79,3450015.71,3757497.4899999998,4675042.085333333,670552.3038614474,0,0,0
2012-09-18,5078878.07,4123200.89,0,0.8118330137427379,1,18,9,2012,0,0.0,0,,26249.0,300.0,4811788.67,4021565.55,3904300.93,3795044.0442857146,4720434.517333333,727219.2147986236,0,0,0
2012-09-19,3680241.62,3014323.76,0,0.8190559401368869,2,19,9,2012,0,0.0,0,,26249.0,300.0,5078878.07,3335978.29,3541027.32,3946088.6900000004,4759587.088666666,876575.0715399835,0,0,0
2012-09-20,3763143.75,3080273.62,0,0.8185373253413453,3,20,9,2012,0,0.0,0,,26249.0,300.0,3680241.62,2609609.29,4147483.23,3995269.1657142863,4764227.565333334,845755.2902949138,0,0,0
2012-09-21,3943768.14,2978697.93,0,0.7552923560054928,4,21,9,2012,0,0.0,0,,26249.0,300.0,3763143.75,3729228.43,4597682.81,4160059.8028571433,4751416.249333333,610402.7775708649,0,0,0
2012-09-22,3872374.03,3011266.74,0,0.7776280691563259,5,22,9,2012,1,0.0,0,,26249.0,300.0,3943768.14,3605125.64,5478869.55,4190708.3328571427,4729619.093666667,590217.5291143049,0,0,0
2012-09-23,4118299.54,3294951.2,0,0.8000756545260912,6,23,9,2012,1,0.0,0,,26249.0,300.0,3872374.03,4452012.44,4637850.57,4228886.6742857145,4676069.243000001,553529.1211798522,0,0,0
2012-09-24,5733263.53,4585762.62,0,0.7998520556406379,0,24,9,2012,0,0.0,0,,26249.0,300.0,4118299.54,4811788.67,3589566.28,4181213.402857143,4658750.875333333,545420.6555873276,0,0,0
2012-09-25,5639897.53,4502395.62,0,0.798311599820857,1,25,9,2012,0,0.0,0,,26249.0,300.0,5733263.53,5078878.07,4280204.53,4312852.668571428,4730207.450333334,782606.148810409,1,0,0
2012-09-26,4592282.59,3670417.04,0,0.7992576606658695,2,26,9,2012,0,0.0,0,,26249.0,300.0,5639897.53,3680241.62,3038895.84,4392998.305714286,4775530.550333334,894811.3573517503,0,0,0
2012-09-27,7556892.66,6017108.13,0,0.7962410478383055,3,27,9,2012,0,0.0,0,,26249.0,300.0,4592282.59,3763143.75,9508676.62,4523289.872857143,4827310.108666668,838350.0737686252,0,0,0
2012-09-28,4892631.14,3884590.92,0,0.7939676646051025,4,28,9,2012,0,0.0,0,,26249.0,300.0,7556892.66,3943768.14,9260558.32,5065254.002857142,4762250.643333334,1340760.5423630974,0,0,0
2012-09-29,5304374.46,4170120.63,0,0.786166335247757,5,29,9,2012,1,0.0,0,,26249.0,300.0,4892631.14,3872374.03,10086534.1,5200805.86,4616653.070666667,1253613.507832135,0,0,0
2012-09-30,4694379.86,3812737.52,0,0.8121919473299717,6,30,9,2012,1,0.0,0,,27519.0,274.0,5304374.46,4118299.54,9104678.52,5405377.350000001,4457247.749333333,1109228.698121523,0,0,0
2012-10-01,4752532.1,3764447.04,0,0.7920929224233962,0,1,10,2012,0,0.0,0,,27519.0,274.0,4694379.86,5733263.53,8560208.92,5487674.538571429,4310237.794000001,1015206.7260319274,1,0,0
2012-10-02,3233135.78,2566510.62,0,0.7938146723921382,1,2,10,2012,0,0.0,0,,27519.0,274.0,4752532.1,5639897.53,2587099.44,5347570.048571429,4183315.2333333334,1042959.2317802194,0,0,0
2012-10-03,3515132.03,2762823.63,0,0.7859800446812805,2,3,10,2012,0,0.0,0,,27519.0,274.0,3233135.78,4592282.59,3865505.01,5003746.941428571,4204849.778,1296434.8789151702,0,0,0
2012-10-04,2398137.74,1902425.74,0,0.7932929407132385,3,4,10,2012,0,0.0,0,,27519.0,274.0,3515132.03,7556892.66,3645749.44,4849868.29,4193170.6786666666,1412172.1647919668,0,0,0
2012-10-05,2665953.06,2064899.19,0,0.7745444662855392,4,5,10,2012,0,0.0,0,,27519.0,274.0,2398137.74,4892631.14,2398185.51,4112903.3014285713,4151583.622,1068219.8063014452,1,0,0
2012-10-06,2205266.94,1755004.4,0,0.7958240193815267,5,6,10,2012,1,0.0,0,,27519.0,274.0,2665953.06,5304374.46,2858227.37,3794806.4328571423,4160509.207,1127234.9283246498,0,0,0
2012-10-07,3389598.07,2725469.75,0,0.8040687107188493,6,7,10,2012,1,0.0,0,,27519.0,274.0,2205266.94,4694379.86,3282753.8,3352076.7871428574,4138743.8593333336,1040810.9737308176,0,0,0
2012-10-08,4037039.45,3285493.04,0,0.8138372390688429,0,8,10,2012,0,0.0,0,,27519.0,274.0,3389598.07,4752532.1,3666204.89,3165679.3885714286,4142305.335,861795.342500865,0,0,0
2012-10-09,4298675.76,3472700.63,0,0.8078535865193983,1,9,10,2012,0,0.0,0,,27519.0,274.0,4037039.45,3233135.78,4458501.42,3063466.152857143,4154666.487,661334.671218666,0,0,0
2012-10-10,3548716.67,2839202.59,0,0.8000646019452434,2,10,10,2012,0,0.0,0,,27519.0,274.0,4298675.76,3515132.03,4548962.79,3215686.1499999994,4149338.9649999994,812295.0800691645,0,1,0
2012-10-11,3421490.39,2765374.16,0,0.808236716982274,3,11,10,2012,0,0.0,0,,27519.0,274.0,3548716.67,2398137.74,4021565.55,3220483.955714286,4115997.4276666665,814454.8424408617,0,0,0
2012-10-12,2380119.87,1830898.15,0,0.7692461934700793,4,12,10,2012,0,0.0,0,,27519.0,274.0,3421490.39,2665953.06,3335978.29,3366677.1914285715,4095994.922333333,729676.0919746715,0,0,0
2012-10-13,2798011.44,2256579.15,0,0.806493896965625,5,13,10,2012,1,0.0,0,,27519.0,274.0,2380119.87,2205266.94,2609609.29,3325843.878571429,4064132.975,781576.6884128456,0,0,0
2012-10-14,3055629.78,2516987.32,0,0.823721295189105,6,14,10,2012,1,0.0,0,,27519.0,274.0,2798011.44,3389598.07,3729228.43,3410521.6642857143,4070413.046666667,663060.4340754779,0,0,0
2012-10-15,3234517.3,2632811.8,0,0.8139736337165363,0,15,10,2012,0,0.0,0,,27519.0,274.0,3055629.78,4037039.45,3605125.64,3362811.9085714286,4047959.7583333333,676691.9218546429,1,0,0
2012-10-16,3549298.21,2763325.25,0,0.7785553894047128,1,16,10,2012,0,0.0,0,,27519.0,274.0,3234517.3,4298675.76,4452012.44,3248165.887142857,4035606.147,607912.0687486882,0,0,0
2012-10-17,3818048.0,3108682.75,0,0.8142073515052718,2,17,10,2012,0,0.0,0,,27519.0,274.0,3549298.21,3548716.67,4811788.67,3141111.9514285713,4005515.672666667,432864.17554421513,0,0,0
2012-10-18,2909728.89,2301277.14,0,0.7908905698771131,3,18,10,2012,0,0.0,0,,27519.0,274.0,3818048.0,3421490.39,5078878.07,3179587.8557142853,3972390.983666667,484074.10031884926,0,0,0
2012-10-19,2877379.81,2352068.71,0,0.817434216305285,4,19,10,2012,0,0.0,0,,27519.0,274.0,2909728.89,2380119.87,3680241.62,3106479.07,3900086.0110000004,480079.7105757945,0,0,0
2012-10-20,3242557.3,2647331.71,0,0.8164332855428647,5,20,10,2012,1,0.0,0,,27519.0,274.0,2877379.81,2798011.44,3763143.75,3177516.2042857143,3873323.9506666665,381318.771592844,0,0,0
2012-10-21,2395609.91,1920246.47,0,0.8015689290582372,6,21,10,2012,1,0.0,0,,27519.0,274.0,3242557.3,3055629.78,3943768.14,3241022.7557142857,3855971.069,342636.57542410813,0,0,0
2012-10-22,3596158.34,2873316.18,0,0.7989960141743926,0,22,10,2012,0,0.0,0,,27519.0,274.0,2395609.91,3234517.3,3872374.03,3146734.202857143,3804365.794666667,469488.8963481871,0,0,0
2012-10-23,3999141.88,3151858.27,0,0.7881336458110358,1,23,10,2012,0,0.0,0,,27519.0,274.0,3596158.34,3549298.21,4118299.54,3198397.208571428,3795158.605,499685.1779790954,0,0,0
2012-10-24,3829179.99,3037851.31,0,0.7933425218802524,2,24,10,2012,0,0.0,0,,27519.0,274.0,3999141.88,3818048.0,5733263.53,3262660.5900000003,3791186.6829999997,575509.0070568313,0,0,0
2012-10-25,3104460.52,2528526.7,0,0.8144818346731625,3,25,10,2012,0,0.0,0,,27519.0,274.0,3829179.99,2909728.89,5639897.53,3264250.8742857142,3727717.231666667,577312.026490344,1,0,0
2012-10-26,2138927.17,1671777.12,0,0.7815960933349592,4,26,10,2012,0,0.0,0,,27519.0,274.0,3104460.52,2877379.81,4592282.59,3292069.6785714286,3643202.664666667,561866.676721443,0,0,0
2012-10-27,2816872.34,2296869.06,0,0.8153969306255463,5,27,10,2012,1,0.0,0,,27519.0,274.0,2138927.17,3242557.3,7556892.66,3186576.444285714,3561424.1506666667,704039.9106914069,0,0,0
2012-10-28,6259883.83,5044146.85,0,0.8057892106282106,6,28,10,2012,1,0.0,0,,27519.0,274.0,2816872.34,2395609.91,4892631.14,3125764.3071428575,3403423.4733333336,716669.8020974295,0,0,0
2012-10-29,5424539.1,4294440.71,0,0.7916692332441664,0,29,10,2012,0,0.0,0,,27519.0,274.0,6259883.83,3596158.34,5304374.46,3677803.4385714284,3448998.563,1306269.6858432775,0,0,0
2012-10-30,6347274.89,5049887.71,0,0.7955993394828376,1,30,10,2012,0,0.0,0,,27519.0,274.0,5424539.1,3999141.88,4694379.86,3939000.6900000004,3453004.051,1460872.7113514063,0,0,0
2012-10-31,4942677.89,3871571.88,0,0.783294393477055,2,31,10,2012,0,0.0,0,,29194.0,282.0,6347274.89,3829179.99,4752532.1,4274448.262857142,3508100.552,1723048.974605193,0,0,0
2012-11-01,5536748.35,4440955.34,0,0.802087264811304,3,1,11,2012,0,0.0,0,,29194.0,282.0,4942677.89,3104460.52,3233135.78,4433519.391428571,3514438.745,1726486.2315066124,1,0,0
2012-11-02,1936831.08,1547786.14,0,0.7991332625661913,4,2,11,2012,0,0.0,0,,29194.0,282.0,5536748.35,2138927.17,3515132.03,4780989.081428572,3591225.830666667,1657814.7563644417,0,0,0
2012-11-03,2911848.61,2151815.97,0,0.73898621055028,5,3,11,2012,1,0.0,0,,29194.0,282.0,1936831.08,2816872.34,2398137.74,4752118.211428571,3538615.799,1712357.4150784463,0,0,0
2012-11-04,2658832.75,2131401.7,0,0.8016306027522793,6,4,11,2012,1,0.0,0,,29194.0,282.0,2911848.61,6259883.83,2665953.06,4765686.249999999,3555739.4946666667,1694753.3981482794,0,0,0
2012-11-05,3332448.46,2732792.99,0,0.8200555905971912,0,5,11,2012,0,0.0,0,,29194.0,282.0,2658832.75,5424539.1,2205266.94,4251250.381428571,3555502.151,1712056.7506893259,1,0,0
2012-11-06,3439495.01,2809375.18,0,0.8167987369750539,1,6,11,2012,0,0.0,0,,29194.0,282.0,3332448.46,6347274.89,3389598.07,3952380.2899999996,3593074.8683333336,1654748.577998359,0,0,0
2012-11-07,1969815.91,1538155.1,0,0.7808623598740251,2,7,11,2012,0,0.0,0,,29194.0,282.0,3439495.01,4942677.89,4037039.45,3536983.1642857147,3594738.0996666667,1274676.749826875,0,0,0
2012-11-08,2197716.17,1723412.77,0,0.7841835053704865,3,8,11,2012,0,0.0,0,,29194.0,282.0,1969815.91,5536748.35,4298675.76,3112288.595714286,3525830.648333333,1222448.5063648007,0,0,0
2012-11-09,2920310.06,2308918.6,0,0.7906415937217297,4,9,11,2012,0,0.0,0,,29194.0,282.0,2197716.17,1936831.08,3548716.67,2635283.9985714285,3455798.662,623429.4969680515,0,0,0
2012-11-10,3124993.27,2475389.25,0,0.7921262659231263,5,10,11,2012,1,0.0,0,,29194.0,282.0,2920310.06,2911848.61,3421490.39,2775780.9957142854,3434851.775,545773.6953060984,0,0,0
2012-11-11,3484874.3,2713727.18,0,0.7787159439294554,6,11,11,2012,1,0.0,0,,29194.0,282.0,3124993.27,2658832.75,2380119.87,2806230.2328571426,3424968.5376666663,560380.5676330989,0,1,0
2012-11-12,3806978.06,3077336.49,0,0.8083410099820749,0,12,11,2012,0,0.0,0,,29194.0,282.0,3484874.3,3332448.46,2798011.44,2924236.1685714284,3461793.6853333334,609030.9556108667,0,0,0
2012-11-13,3848498.06,3048755.92,0,0.7921937006251213,1,13,11,2012,0,0.0,0,,29194.0,282.0,3806978.06,3439495.01,3055629.78,2992026.111428571,3495425.906,683854.2567554406,0,0,0
2012-11-14,3213518.64,2550177.92,0,0.7935780699252455,2,14,11,2012,0,0.0,0,,29194.0,282.0,3848498.06,1969815.91,3234517.3,3050455.118571428,3521854.8486666665,743343.5733524492,0,0,0
2012-11-15,2996358.37,2282178.26,0,0.7616506366025902,3,15,11,2012,0,0.0,0,,29194.0,282.0,3213518.64,2197716.17,3549298.21,3228126.937142857,3521154.893333333,570554.6563628208,1,0,0
